Front,Back,Tags,Type
"What is ""Red Herring""?","Introducing an irrelevant topic to distract from the issue at hand. Clues: diversion, topic change without resolving original claim. Example: ""Why ask about taxes? Look at how patriotic I am.""",logical-fallacies basic,Basic
"What is ""Appeal to Emotion"" (pathos-based fallacy)?","Using emotions rather than valid reasons to persuade. Clues: pity, fear, flattery used as substitute for evidence. Example: ""Think of the children—vote for this law.""",logical-fallacies basic,Basic
"What is ""Bandwagon"" (appeal to popularity)?","Claiming something is true/valid because many people believe it. Clues: majority as evidence, social proof. Example: ""Everyone's investing in X, so it's a good choice.""",logical-fallacies basic,Basic
"What is ""Composition/Division"" fallacy?","Assuming what's true of parts is true of the whole (composition) or vice versa (division). Clues: unjustified transfer between part/whole. Example: ""Every player is great, so the team must be great.""",logical-fallacies basic,Basic
"What is ""Tu Quoque"" (appeal to hypocrisy)?","Dismissing criticism by accusing the critic of the same flaw instead of addressing the critique. Clues: counter-accusation, avoids substance. Example: ""You say smoking is bad, but you smoked last year.""",logical-fallacies basic,Basic
"To test for a fallacy, ask: Does the response address the {{c1::argument}} and provide {{c1::relevant evidence}}? If not, suspect a {{c1::fallacy}}.",To test for a fallacy, ask: Does the response address the argument and provide relevant evidence? If not, suspect a fallacy.,logical-fallacies cloze,Cloze
```
Front,Back,Tags,Type
"What is ""No True Scotsman""?","A ad hoc rescue of a generalization by redefining the group to exclude counter‑examples. Clues: moving goalposts. Example: ""No true Scotsman would eat haggis with ketchup; therefore the person who does isn’t a true Scotsman.""",logical-fallacies basic,Basic
"No True Scotsman — The arguer shifts the definition of {{c1::the group}} to exclude {{c1::counter‑examples}}.",No True Scotsman cloze,logical-fallacies cloze,Cloze
"What is ""Appeal to Tradition"" (argumentum ad antiquitatem)?","Claiming something is right because it’s been done that way historically. Clues: “always been done”, resistance to change. Example: ""We’ve always used this software, so it must be the best.""",logical-fallacies basic,Basic
"Appeal to Tradition — The argument assumes {{c1::oldness}} equals {{c1::rightness}} without supporting evidence.",Appeal to Tradition cloze,logical-fallacies cloze,Cloze
"What is ""Genetic Fallacy""?","Evaluating a claim based solely on its origin rather than its merits. Clues: source‑based dismissal. Example: ""That idea came from a rival company, so it’s invalid.""",logical-fallacies basic,Basic
"Genetic Fallacy — The argument rejects or accepts a claim because of its {{c1::origin}} rather than its {{c1::content}}.",Genetic Fallacy cloze,logical-fallacies cloze,Cloze
"What is ""Middle Ground"" fallacy?","Assuming the compromise between two extremes must be correct. Clues: “meet in the middle”, false balance. Example: ""One side says the sky is blue, the other says it’s red; therefore it must be purple.""",logical-fallacies basic,Basic
"Middle Ground — The argument treats the {{c1::average}} of two positions as {{c1::truth}} without justification.",Middle Ground cloze,logical-fallacies cloze,Cloze
"What is ""Appeal to Consequences"" (argumentum ad consequentiam)?","Accepting or rejecting a proposition based on whether the consequences are desirable. Clues: “if true, good/bad outcome”. Example: ""If climate change were real, we’d have to change our lifestyle, so it must be false.""",logical-fallacies basic,Basic
"Appeal to Consequences — The truth of a claim is judged by its {{c1::outcome}} rather than {{c1::evidence}}.",Appeal to Consequences cloze,logical-fallacies cloze,Cloze
"What is ""Loaded Question""?","A question that contains a presupposition making any answer incriminate the respondent. Clues: “have you stopped…?”. Example: ""When did you stop cheating on exams?""",logical-fallacies basic,Basic
"Loaded Question — The question embeds a {{c1::presupposition}} that forces the respondent into a {{c1::trap}}.",Loaded Question cloze,logical-fallacies cloze,Cloze
"What is ""Circular Definition""?","Defining a term using the term itself or synonyms that ultimately rely on the original term. Clues: no new information. Example: ""Freedom is the state of being free.""",logical-fallacies basic,Basic
"Circular Definition — The definition loops back to the {{c1::same word}} without providing {{c1::independent clarification}}.",Circular Definition cloze,logical-fallacies cloze,Cloze
"What is ""Fallacy of the Single Cause""?","Attributing an effect to one cause while ignoring other contributing factors. Clues: “only because”. Example: ""The economy crashed solely because of tax cuts.""",logical-fallacies basic,Basic
"Fallacy of the Single Cause — The argument isolates a {{c1::single factor}} as the {{c1::sole cause}} despite evidence of {{c1::multiple causes}}.",Single Cause cloze,logical-fallacies cloze,Cloze
"What is ""Appeal to Novelty"" (argumentum ad novitatem)?","Claiming something is superior because it is new or modern. Clues: “new = better”. Example: ""The latest phone must be the best because it’s the newest model.""",logical-fallacies basic,Basic
"Appeal to Novelty — The argument equates {{c1::newness}} with {{c1::quality}} without supporting data.",Appeal to Novelty cloze,logical-fallacies cloze,Cloze
"What is ""Moral Equivalence""?","Comparing two actions as equally immoral when the contexts differ significantly. Clues: false parity. Example: ""Stealing a candy bar is just as bad as embezzling millions.""",logical-fallacies basic,Basic
"Moral Equivalence — The argument treats {{c1::unequal harms}} as {{c1::morally identical}}.",Moral Equivalence cloze,logical-fallacies cloze,Cloze
"What is ""Argument from Silence"" (argumentum ex silentio)?","Assuming a claim is true or false because it has not been mentioned. Clues: “no evidence = evidence”. Example: ""The report never mentions a leak, so there was none.""",logical-fallacies basic,Basic
"Argument from Silence — The conclusion is drawn from {{c1::absence of mention}} rather than {{c1::positive evidence}}.",Argument from Silence cloze,logical-fallacies cloze,Cloze
"What is ""False Analogy""?","Drawing a comparison between two things that are not sufficiently similar in relevant aspects. Clues: weak parallel. Example: ""Just as a car needs fuel, a computer needs coffee to run.""",logical-fallacies basic,Basic
"False Analogy — The argument relies on a {{c1::superficial similarity}} while ignoring {{c1::critical differences}}.",False Analogy cloze,logical-fallacies cloze,Cloze
"What is ""Oversimplification""?","Reducing a complex issue to a single cause or solution, ignoring nuance. Clues: “one‑size‑fits‑all”. Example: ""All crime is caused by poverty; therefore, eliminating poverty will end crime.""",logical-fallacies basic,Basic
"Oversimplification — The argument collapses a {{c1::multifaceted problem}} into a {{c1::single factor}}.",Oversimplification cloze,logical-fallacies cloze,Cloze
Front,Back,Tags,Type
"Scenario: A politician says, “If we raise the minimum wage, businesses will close, unemployment will sky‑rocket, and the economy will collapse.” Which fallacy is this?","**Slippery Slope** – claims a chain of extreme outcomes without evidence for each step.",logical-fallacies test,Basic
"Scenario: “You can’t trust his argument on climate change because he’s a Hollywood actor, not a scientist.” Which fallacy is illustrated?","**Ad Hominem** – attacks the person’s credibility rather than the argument.",logical-fallacies test,Basic
"Scenario: “All the best athletes use this supplement, so it must be safe and effective.” Identify the fallacy.","**Bandwagon (Appeal to Popularity)** – assumes truth because many people endorse it.",logical-fallacies test,Basic
"Scenario: “No true vegan would ever eat cheese, so anyone who eats cheese isn’t a real vegan.” Which fallacy is this?","**No True Scotsman** – redefines the group to exclude counter‑examples.",logical-fallacies test,Basic
"Scenario: “Since the study was funded by a pharmaceutical company, its results must be biased and therefore false.” Identify the fallacy.","**Genetic Fallacy** – judges the claim based on its source rather than its content.",logical-fallacies test,Basic
"Scenario: “If we don’t ban all video games, children will become violent, drop out of school, and society will fall apart.” Which fallacy is present?","**Slippery Slope** – predicts dire consequences without supporting evidence.",logical-fallacies test,Basic
"Scenario: “Either we cut taxes completely or the government will bankrupt the nation.” What fallacy does this represent?","**False Dichotomy** – presents only two options when more exist.",logical-fallacies test,Basic
"Scenario: “The new policy must be good because it was approved by the most senior manager.” Identify the fallacy.","**Appeal to Authority** – relies on status rather than expertise or consensus.",logical-fallacies test,Basic
"Scenario: “I’m sure the product works because I’ve never heard anyone say it doesn’t.” Which fallacy is this?","**Argument from Silence** – assumes truth from lack of contrary evidence.",logical-fallacies test,Basic
"Scenario: “You’re either with us on this law or you don’t care about public safety.” Identify the fallacy.","**False Dichotomy** – forces a binary choice, ignoring middle ground.",logical-fallacies test,Basic
"Scenario: “We should keep the old system because it’s the way it’s always been done.” Which fallacy is illustrated?","**Appeal to Tradition** – argues correctness based solely on longevity.",logical-fallacies test,Basic
"Scenario: “If we allow one exception to the rule, soon everyone will demand exceptions, and the rule will be meaningless.” Identify the fallacy.","**Slippery Slope** – predicts inevitable escalation without justification.",logical-fallacies test,Basic
"Scenario: “The study shows a correlation between coffee consumption and heart disease, so coffee must cause heart disease.” Which fallacy is this?","**False Cause (Post Hoc)** – confuses correlation with causation.",logical-fallacies test,Basic
"Scenario: “Both candidates promise lower taxes, so you can’t tell which one is better.” Identify the fallacy.","**Middle Ground** – assumes the compromise between two positions is correct.",logical-fallacies test,Basic
"Scenario: “You say the policy is unfair, but you voted for it last year, so your criticism is invalid.” Which fallacy is present?","**Tu Quoque** – deflects criticism by accusing the critic of hypocrisy.",logical-fallacies test,Basic
"Scenario: “The argument that the earth is flat is absurd because anyone who believes it must be ignorant.” Identify the fallacy.","**Ad Hominem** – attacks the believer’s intelligence rather than the claim.",logical-fallacies test,Basic
"Scenario: “If we don’t ban this book, children will become immoral, crime rates will rise, and the nation will fall.” Which fallacy does this exemplify?","**Slippery Slope** – links a small action to extreme outcomes without proof.",logical-fallacies test,Basic
"Scenario: “The new software is better because it’s newer than the old version.” Identify the fallacy.","**Appeal to Novelty** – assumes newer equals better.",logical-fallacies test,Basic
"Scenario: “She says the policy will hurt the economy, but she’s a former banker, so her argument is biased.” Which fallacy is this?","**Ad Hominem (Circumstantial)** – dismisses argument based on the speaker’s background.",logical-fallacies test,Basic
"Scenario: “Because the study didn’t mention any side effects, the drug must be completely safe.” Identify the fallacy.","**Argument from Silence** – infers safety from lack of reported problems.",logical-fallacies test,Basic
Front,Back,Tags,Type
"Explain why the following is a Straw Man and correct it: ""She wants to regulate guns—she wants to take away everyone's guns.""","Why it's a Straw Man: it misrepresents ''regulate'' as ''ban'' (weaker/ exaggerated target). Correction: restate the actual position and respond to it — e.g., ''She supports specific background checks and limits on certain weapons; the merits and trade-offs of those policies should be discussed.''",logical-fallacies application,Basic
"Identify the fallacy and explain the false step: ""Experts disagree about X, so we should trust celebrity Y who says it’s false.""","Fallacy: Appeal to Irrelevant Authority / Bandwagon. False step: substituting relevant expert consensus with an unrelated authority; ignores expertise and evidence. Correct approach: weigh qualified expert consensus and primary evidence.",logical-fallacies application,Basic
"Given: ""Event A preceded B; therefore A caused B."" List two reasons this could still be a false cause and what evidence would confirm causation.","Reasons: (1) Confounding variables; (2) Coincidence or reverse causation. Evidence to confirm causation: controlled experiments, reproducible mechanism, temporal precedence with ruling out confounders, dose‑response relationship.",logical-fallacies application,Basic
"Which fallacy and why: ""If we legalize medical marijuana, next people will demand legalization of all drugs—society will collapse."" Propose a better argumentative move.","Fallacy: Slippery Slope. Why: assumes extreme chain without evidence. Better move: provide data on outcomes from jurisdictions with medical legalization and argue incremental risks/controls with evidence.",logical-fallacies application,Basic
"Convert this circular argument into a valid form: ""This law is just because it's moral; it's moral because the law says so.""","Identify circularity and supply independent premises: e.g., ''This law is just because it protects basic rights (premise supported by ethical theory and evidence). Therefore, it reflects moral values rather than defining them.''",logical-fallacies application,Basic
"Explain why this is a False Dichotomy and provide at least one additional viable option: ""Either we cut education funding or we cut healthcare.""","Why false: presents only two options while budgets can be reallocated, revenues increased, inefficiencies reduced. Additional options: raise revenue, reprioritize spending, improve efficiency in both sectors.",logical-fallacies application,Basic
"Spot the equivocation and rewrite to remove ambiguity: ""Freedom is the right to do what you want; I have the freedom to drive my car anywhere, so I can drive through private property.""","Equivocation: 'freedom' used as moral/political right vs. unconstrained action. Rewrite: ''Freedom in a political sense doesn't override property rights; lawful freedoms are bounded by others' rights and regulations.''",logical-fallacies application,Basic
"Analyze this argument for Hasty Generalization and describe what evidence would make it stronger: ""I met two rude taxi drivers in City X; therefore everyone there is rude.""","Hasty Generalization: small, unrepresentative sample. Stronger evidence: larger, randomized sample of interactions, surveys with representative sampling, corroborating studies showing high rates of rudeness.",logical-fallacies application,Basic
"Explain why this is a Red Herring and how to redirect the discussion: ""Why are we talking about climate policy? The politician cheated on their taxes.""","Red Herring: it diverts attention from climate policy to an unrelated scandal. Redirect: acknowledge the issue briefly if relevant to credibility, then return to climate policy specifics—policies, evidence, impacts.",logical-fallacies application,Basic
"Determine the fallacy and propose a fair test: ""No study has proven X false, therefore X is true.""","Fallacy: Appeal to Ignorance. Fair test: require positive evidence supporting X—replicable studies, falsifiable predictions, peer review; burden of proof lies with claimant.",logical-fallacies application,Basic
"Explain why this is a False Analogy and give an improved analogy or explain why none fits: ""Treating school like a factory will make it efficient—after all, factories produce consistent output.""","False Analogy: students aren't homogeneous inputs; education goals differ from mass production. Improved analogy: schools as gardens—require varied care tailored to each student—if stressing cultivation of growth rather than uniform output.",logical-fallacies application,Basic
"Identify the fallacy and correct the reasoning: ""Everyone I know prefers brand A, so brand A must be the best.""","Fallacy: Bandwagon / Anecdotal Evidence. Correction: use representative market research, blind testing, objective performance metrics rather than social proof alone.",logical-fallacies application,Basic
"Explain why this is Composition vs Division error: ""Each cell in this object is light; therefore the whole object is light.""","Type: Composition. Flaw: attributes of parts don't automatically transfer to the whole (e.g., helium atoms vs. steel structure). Correct reasoning: analyze emergent properties and interactions among parts.",logical-fallacies application,Basic
"Given: ""Politician X lied about policy Y, so all their policy proposals must be false."" Explain the fallacy and propose evaluation criteria.","Fallacy: Ad Hominem / Genetic fallacy (discrediting proposals based on origin). Evaluation criteria: analyze each proposal on evidence, feasibility, projected outcomes, and independent expert analysis.",logical-fallacies application,Basic
"Identify the loaded question and rewrite it neutrally: ""Have you stopped supporting violent protests?""","Loaded question: presupposes support for violent protests. Neutral rewrite: ''Do you support or oppose violent protests?'' or ''What is your position on the use of violence in protests?''",logical-fallacies application,Basic
"Explain why ''Appeal to Tradition'' can be misleading and give an evidence‑based alternative argument for keeping a practice.","Why misleading: longevity doesn't prove effectiveness; past contexts differ. Evidence‑based alternative: present data showing outcomes, cost‑benefit analysis, and comparison with modern alternatives.",logical-fallacies application,Basic
"Analyze this: ""If policy A reduces crime in City 1, it will reduce crime everywhere; therefore implement it nationwide."" Identify pitfalls and what checks to run before scaling.","Pitfalls: contextual differences, confounders, selection bias. Checks: pilot studies in varied contexts, replication, cost/benefit analysis, monitoring for unintended effects.",logical-fallacies application,Basic
"Explain why ''Tu Quoque'' fails as a rebuttal and provide a substantive reply to criticism instead: critic says ''You pollute more than you claim.''","Why it fails: deflects by accusing critic without addressing evidence. Substantive reply: provide data on emissions, admission and plan to reduce them, or demonstrate measurement errors in the criticism.",logical-fallacies application,Basic
"Transform this vague claim into a falsifiable hypothesis: ''This diet is the best for health.''","Falsifiable hypothesis: ''Adults following Diet X for 12 months will have a statistically significant greater reduction in LDL cholesterol and body fat percentage compared with a matched control group on Diet Y, measured by blinded assessment.''",logical-fallacies application,Basic
"Design a quick checklist (3–4 items) to detect fallacies in an argument you hear live.","Checklist: (1) Does the response address the claim with relevant evidence? (2) Are there hidden assumptions or equivocations? (3) Is the sample/evidence representative? (4) Are causal claims supported or just correlational?",logical-fallacies application,Basic
Front,Back,Tags,Type
"Explain why the following is a Straw Man and correct it: ""She wants to regulate guns—she wants to take away everyone's guns.""","Why it's a Straw Man: it misrepresents 'regulate' as 'ban' (distorts the original claim). Correction: restate the actual position and respond—e.g., 'She supports background checks and restrictions on certain firearms; evaluate those policies' effectiveness and tradeoffs.'",logical-fallacies application,Basic
"Identify the fallacy and explain the error: ""Experts disagree about X, so trust celebrity Y who says it’s false.""","Fallacy: Appeal to Irrelevant Authority / Bandwagon. Error: substituting qualified expertise with an unrelated authority; ignores expert consensus and evidence. Fix: consult relevant experts and primary studies.",logical-fallacies application,Basic
"Given: 'A preceded B; therefore A caused B.' List two reasons this may be a false cause and one test to check causation.","Reasons: (1) Confounder causing both; (2) Coincidence or reverse causation. Test: controlled experiment or longitudinal study controlling for confounders and demonstrating temporal precedence.",logical-fallacies application,Basic
"Which fallacy: 'Legalize medical marijuana → all drugs legalized → society collapses.' Propose a stronger argumentative move.","Fallacy: Slippery Slope (unsupported chain). Stronger move: cite empirical outcomes from jurisdictions with medical legalization and assess incremental risks and regulatory safeguards.",logical-fallacies application,Basic
"Convert this circular argument into a valid form: 'This law is just because it's moral; it's moral because the law says so.'","Problem: circular reasoning. Valid form: supply independent ethical premises—e.g., 'The law protects individual rights as justified by X normative theory and empirical benefits; therefore it is just.'",logical-fallacies application,Basic
"Explain why this is a False Dichotomy and add one realistic alternative: 'Either cut education funding or cut healthcare.'","Why false: ignores additional budgetary options. Alternative: increase revenue, reprioritize expenditures, close inefficiencies, or implement targeted reforms in both areas.",logical-fallacies application,Basic
"Spot the equivocation and rewrite: 'Freedom is the right to do what you want; I have the freedom to drive my car anywhere, so I can drive through private property.'","Equivocation: 'freedom' used as absolute freedom vs. lawful/political freedom. Rewrite: 'Freedom in a legal system is bounded by others' rights and property law; one cannot use freedom to legally trespass.'",logical-fallacies application,Basic
"Analyze for Hasty Generalization: 'I met two rude taxi drivers in City X; therefore everyone there is rude.' What evidence would strengthen the claim?","Hasty Generalization: tiny, biased sample. Stronger evidence: large, randomized surveys or systematic observations showing high incidence of rudeness with representative sampling.",logical-fallacies application,Basic
"Why is this a Red Herring and how to redirect: 'Why ask about climate policy? The politician cheated on their taxes.'","Red Herring: diverts from policy substance to unrelated scandal. Redirect: briefly acknowledge relevance to credibility if needed, then return to policy specifics, evidence, and impacts.",logical-fallacies application,Basic
"Identify the fallacy: 'No study has proven X false, therefore X is true.' What is the proper burden of proof?","Fallacy: Appeal to Ignorance. Proper burden: claimant must provide positive, falsifiable evidence for X (studies, reproducible data).",logical-fallacies application,Basic
"Explain why this is a False Analogy and offer a better analogy: 'Treating school like a factory will make it efficient—factories produce consistent output.'","False Analogy: students vary and education goals differ from mass production. Better analogy: schools as gardens—tailored nurturing to individual growth rather than uniform assembly.",logical-fallacies application,Basic
"Identify the fallacy and correct it: 'Everyone I know prefers brand A, so brand A is the best.'","Fallacy: Bandwagon / Anecdotal Evidence. Correct: use representative testing, objective metrics, and blinded comparisons to evaluate quality.",logical-fallacies application,Basic
"Explain Composition vs Division in this example: 'Each cell is light; therefore the whole object is light.'","Type: Composition. Error: properties of parts don't guarantee same property in aggregate. Correct approach: analyze emergent properties and interactions among parts.",logical-fallacies application,Basic
"Given: 'Politician X lied about Y, so all their proposals must be false.' Explain the fallacy and a proper evaluation method.","Fallacy: Ad Hominem / Genetic fallacy. Proper method: evaluate each proposal on evidence, feasibility, cost/benefit, and independent expert analysis.",logical-fallacies application,Basic
"Rewrite this loaded question neutrally: 'Have you stopped supporting violent protests?'","Neutral rewrite: 'What is your position on the use of violence in protests?' or 'Do you support or oppose violent protests?'",logical-fallacies application,Basic
"Why can Appeal to Tradition be misleading? Give an evidence-based reason to keep a practice.","Misleading because longevity ≠ effectiveness; historical context may differ. Evidence-based reason: if studies show continued benefit, cost-effectiveness, and safety compared to alternatives, justify keeping it.",logical-fallacies application,Basic
"Analyze: 'Policy A reduced crime in City 1, so implement nationwide.' What checks before scaling?","Pitfalls: contextual differences and confounders. Checks: pilot programs in varied settings, replication studies, monitoring, and cost/benefit and equity analyses.",logical-fallacies application,Basic
"Explain why Tu Quoque is a weak rebuttal and give a substantive reply to: 'You pollute more than you claim.'","Why weak: avoids addressing the claim by attacking accuser. Substantive reply: present emissions data, admit and outline reduction plan, or challenge measurement accuracy with evidence.",logical-fallacies application,Basic
"Turn vague claim into falsifiable hypothesis: 'This diet is the best for health.'","Falsifiable hypothesis: 'Adults on Diet X for 12 months will show significantly greater improvement in LDL, HbA1c, and body fat percentage than adults on Diet Y, measured in a randomized controlled trial.'",logical-fallacies application,Basic
"Create a 4-item live checklist to spot fallacies quickly.","(1) Does the response address the claim with relevant evidence? (2) Are causal claims supported or only correlational? (3) Any equivocations or hidden assumptions? (4) Is the sample/evidence representative and unbiased?",logical-fallacies application,Basic
Front,Back,Tags,Type
"Evaluate this argument and name the fallacy: 'If we allow remote work, employees will stop collaborating and company culture will die.' How would you test the claim?","Fallacy: Slippery Slope / Unsupported causal leap. Test: run controlled pilot comparing collaboration metrics (meeting frequency, project completion, employee surveys) across matched teams with remote, hybrid, and in‑office models over 6–12 months.",logical-fallacies application,Basic
"Spot the fallacy and propose a rebuttal: 'You can't trust his study on vaccines—he got funding from Big Pharma.'","Fallacy: Genetic Fallacy (discounting by source) and possible ad hominem. Rebuttal: examine study methodology, sample, blinding, peer review, and replication; disclose conflicts but evaluate evidence on its merits.",logical-fallacies application,Basic
"Is this a Hasty Generalization or reasonable inference? 'Three out of four people I asked prefer tea, so most people prefer tea.' What would improve confidence?","Likely Hasty Generalization: tiny, non‑representative sample. Improve confidence with a larger, randomized, demographically representative survey and confidence intervals for estimates.",logical-fallacies application,Basic
"Analyse and fix: 'My ancestor believed X, so X must be wise.'","Fallacy: Appeal to Tradition / Genetic fallacy. Fix: provide current evidence, reasoning, or outcomes supporting X rather than relying on ancestry.",logical-fallacies application,Basic
"Identify fallacy & craft a charitable reconstruction: 'Either you're for strict security checks or you don't care about safety.'","Fallacy: False Dichotomy. Charitable reconstruction: 'Supporters may favor balanced policies that protect safety while preserving civil liberties; discuss specific measures and tradeoffs.'",logical-fallacies application,Basic
"Assess this claim: 'Crime rose after policy Z—therefore Z caused the rise.' What additional data do you need?","Need: baseline trends, control regions without Z, possible confounders (economy, policing), timing and dose of implementation, and statistical analyses adjusting for covariates.",logical-fallacies application,Basic
"Name the fallacy and improve reasoning: 'He's hypocritical about climate change; ignore his argument.'","Fallacy: Tu Quoque / ad hominem. Improve: address the argument's evidence and logic regardless of speaker's behavior; use independent data to evaluate claims.",logical-fallacies application,Basic
"Determine if this is Equivocation: 'Light travels faster than sound; my idea is light, so it's faster.' Explain and correct.","Yes—Equivocation by shifting meaning of 'light' (illumination vs. not heavy). Correct: avoid ambiguous terms; use precise language: 'My idea spreads quickly' or 'is simple/lightweight.'",logical-fallacies application,Basic
"Label and remedy: 'We haven't found any harm from supplement A, so it's safe.'","Fallacy: Appeal to Ignorance / Argument from Silence. Remedy: require controlled safety studies, adverse event surveillance, dose‑response data, and long‑term follow‑up.",logical-fallacies application,Basic
"Detect the fallacy: 'If policy B fails once, it proves it's always bad.'","Fallacy: Hasty Generalization / Overgeneralization. Remedy: examine context of failure, sample size, implementation fidelity, and replicate before generalizing.",logical-fallacies application,Basic
"Which fallacy: 'Because two things co-occur, one must cause the other.' Provide an example of confounding.","Fallacy: False Cause / Correlation ≠ causation. Example confounder: ice cream sales and drowning both rise in summer—temperature is the confounder.",logical-fallacies application,Basic
"Explain why 'No true fan would criticize this band' is fallacious and how to respond.","Fallacy: No True Scotsman (ad hoc exclusion). Response: challenge the redefinition, present counterexamples, and ask for substantive criteria that define 'true fan.'",logical-fallacies application,Basic
"Transform this vague promotional claim into testable evaluation criteria: 'Our product makes teams more productive.'","Testable criteria: measure baseline and post‑implementation team output (tasks completed, cycle time), quality metrics, and employee satisfaction; use control groups and pre/post analysis.",logical-fallacies application,Basic
"Spot the Red Herring and give a succinct redirect: 'Why discuss healthcare costs? Look at how much politicians lie.'","Red Herring: diverts to politician behavior. Redirect: note that politician honesty is separate and then refocus: 'Let's examine healthcare cost drivers and policy options.'",logical-fallacies application,Basic
"Identify the fallacy in this appeal: 'This new diet is trending—so it must be healthiest.'","Fallacy: Bandwagon / Appeal to Popularity or Appeal to Novelty. Counter: require clinical trials, objective health outcomes, and long‑term safety data.",logical-fallacies application,Basic
"Explain the flaw: 'My company's product succeeded because I used it; therefore it's the best solution.'","Fallacy: Anecdotal Evidence / Survivor bias. Flaw: single user success doesn't control for selection bias. Require comparative studies, A/B tests, and representative outcomes.",logical-fallacies application,Basic
