Front,Back,Tags,Type
"Deconstruct this argument: 'If we legalize marijuana, society will collapse into chaos.'","Fallacy: Slippery Slope with Catastrophizing. Unsupported chain of hypothetical negative consequences. Correct approach: examine evidence from jurisdictions with legalization, analyze actual social and economic impacts.",logical-fallacies advanced,Basic
"Explain the logical flaw: 'This technology is new, so it must be better than older methods.'","Fallacy: Appeal to Novelty. Newness doesn't guarantee superiority. Proper evaluation requires comparative analysis, performance metrics, and long-term reliability studies.",logical-fallacies advanced,Basic
"Identify the problem in this reasoning: 'My religion
Front,Back,Tags,Type
"Identify the fallacy: 'If we raise the minimum wage, businesses will close, then unemployment will sky‑rocket, and the economy will collapse.'","Fallacy: Slippery Slope (unsubstantiated chain of events). Counter: request empirical data on each step and show evidence of mitigating factors.",logical-fallacies bonus2,Basic
"Slippery Slope — To challenge, ask for {{c1::empirical support}} for each link in the chain.",logical-fallacies bonus2,Cloze
"Explain why this is a 'Genetic Fallacy' and how to refocus the argument.","Fallacy: dismissing a claim solely because of its source. Refocus by evaluating the claim’s evidence, methodology, and logical coherence.",logical-fallacies bonus2,Basic
"Genetic Fallacy — Shift focus from {{c1::origin}} to {{c1::content}} and evidence.",logical-fallacies bonus2,Cloze
"Give a concise definition of 'Appeal to Consequences' and a quick test question.","Using outcomes (good/bad) to judge truth. Test: Does the claim stand independent of whether the result is desirable?",logical-fallacies bonus2,Basic
"Appeal to Consequences — Ask: Is the {{c1::truth}} of the claim independent of its {{c1::outcome}}?",logical-fallacies bonus2,Cloze
"Spot the 'Middle Ground' fallacy in this statement and suggest a better approach: 'We should either ban all AI or let it run unchecked.'","Fallacy: false compromise. Better: evaluate AI risks/benefits with evidence and adopt calibrated regulation.",logical-fallacies bonus2,Basic
"Middle Ground — Avoid assuming {{c1::compromise}} equals {{c1::correctness}}; base policy on data.",logical-fallacies bonus2,Cloze
"Define 'Appeal to Novelty' and give a one‑sentence rebuttal when you hear it.","Claiming something is better because it’s new. Rebuttal: demand evidence of superiority, not just novelty.",logical-fallacies bonus2,Basic
"Appeal to Novelty — Request {{c1::empirical proof}} of improvement, not just {{c1::newness}}.",logical-fallacies bonus2,Cloze
"Explain the 'False Dichotomy' in this claim and add a third option: 'Either we cut taxes or we raise debt.'","Fallacy: presenting only two choices. Third option: restructure spending, improve efficiency, or raise revenue through other means.",logical-fallacies bonus2,Basic
"False Dichotomy — Offer {{c1::additional alternatives}} before deciding.",logical-fallacies bonus2,Cloze
"Identify the 'Hasty Generalization' in this anecdote and propose a more rigorous method to reach a conclusion.","Fallacy: drawing broad claim from few cases. Rigorous method: systematic sampling, larger dataset, statistical analysis.",logical-fallacies bonus2,Basic
"Hasty Generalization — Replace {{c1::anecdote}} with {{c1::representative data}}.",logical-fallacies bonus2,Cloze
"State the core problem of the 'Red Herring' and a one‑line technique to bring the discussion back on track.","Problem: distraction from the main issue. Technique: acknowledge the side point, then restate the original question.",logical-fallacies bonus2,Basic
"Red Herring — Use {{c1::acknowledge‑and‑refocus}} to keep the conversation on target.",logical-fallacies bonus2,Cloze
"Give a short definition of 'Tu Quoque' and a concise way to neutralize it in debate.","Fallacy: deflecting criticism by accusing the critic of the same fault. Neutralize: address the original point directly, ignoring the accusation.",logical-fallacies bonus2,Basic
"Tu Quoque — Respond by {{c1::focusing on the claim}} rather than the counter‑accusation.",logical-fallacies bonus2,Cloze
"Explain why this is a 'Circular Definition' and rewrite the definition to avoid circularity.","Fallacy: defining a term using the term itself. Rewrite: provide an external description or criteria that does not rely on the term.",logical-fallacies bonus2,Basic
"Circular Definition — Replace {{c1::self‑reference}} with {{c1::independent criteria}}.",logical-fallacies bonus2,Cloze
"Identify the 'Appeal to Authority' misuse in this sentence and suggest a better evidential basis.","Misuse: citing a celebrity on a scientific topic. Better basis: peer‑reviewed studies, meta‑analyses, or expert consensus in the relevant field.",logical-fallacies bonus2,Basic
"Appeal to Authority — Swap {{c1::non‑expert endorsement}} for {{c1::domain‑specific evidence}}.",logical-fallacies bonus2,Cloze
"Define 'False Cause' and list two methodological safeguards to avoid it in research.","Fallacy: assuming causation from correlation. Safeguards: randomization and controlling for confounders.",logical-fallacies bonus2,Basic
"False Cause — Apply {{c1::randomized control}} and {{c1::confounder adjustment}} to infer causality.",logical-fallacies bonus2,Cloze
"Explain the 'Equivocation' trap in this statement and give a one‑sentence fix.","Trap: using 'light' to mean both 'not heavy' and 'illumination'. Fix: replace ambiguous word with precise term.",logical-fallacies bonus2,Basic
"Equivocation — Replace {{c1::ambiguous}} words with {{c1::clear, defined}} alternatives.",logical-fallacies bonus2,Cloze
"State the essence of the 'Bandwagon' fallacy and a quick question to test its validity.","Fallacy: believing something is true because many believe it. Question: What independent evidence supports the claim beyond popularity?",logical-fallacies bonus2,Basic
"Bandwagon — Ask for {{c1::evidence}} beyond {{c1::majority belief}}.",logical-fallacies bonus2,Cloze
"Identify the 'Argument from Ignorance' in this claim and propose a proper burden‑of‑proof statement.","Fallacy: asserting truth because it hasn't been disproven. Proper statement: 'We need positive evidence to accept the claim.'",logical-fallacies bonus2,Basic
"Argument from Ignorance — Shift the {{c1::burden of proof}} to the claimant for {{c1::positive evidence}}.",logical-fallacies bonus2,Cloze
"Give a concise definition of 'Oversimplification' and a brief way to expand a too‑simple argument.","Fallacy: ignoring complexity, reducing to a single cause. Expand: acknowledge multiple factors and cite supporting data for each.",logical-fallacies bonus2,Basic
"Oversimplification — Add {{c1::multifactor analysis}} and {{c1::evidence}} for each component.",logical-fallacies bonus2,Cloze
"Explain the 'Moral Equivalence' fallacy in this comparison and suggest a more accurate framing.","Fallacy: equating vastly different moral weight. Frame: compare specific harms and contexts rather than labeling them equal.",logical-fallacies bonus2,Basic
"Moral Equivalence — Use {{c1::granular harm assessment}} instead of blanket equality.",logical-fallacies bonus2,Cloze
"State the core issue of the 'Loaded Language' technique and a one‑line tip to neutralize it.","Issue: emotionally charged words bias reasoning. Tip: replace loaded terms with neutral descriptors.",logical-fallacies bonus2,Basic
"Loaded Language — Swap {{c1::emotive}} words for {{c1::neutral}} language.",logical-fallacies bonus2,Cloze
"Identify the 'Fallacy of the Single Cause' in this statement and list a method to test for multiple causes.","Fallacy: attributing outcome to one factor alone. Method: multivariate analysis or controlled experiments to isolate variables.",logical-fallacies bonus2,Basic
"Single Cause — Apply {{c1::multivariate regression}} or {{c1::controlled trials}} to detect additional factors.",logical-fallacies bonus2,Cloze
Front,Back,Tags,Type
"Identify the fallacy: 'Every time I go to the gym, it rains; thus, going to the gym causes rain.' What data points would help challenge this assumption?","Fallacy: Post Hoc / False Cause. Challenge: collect weather data over time, gym attendance records, and analyze patterns with statistical methods to check correlation vs. causation.",logical-fallacies bonus,Basic
"Post Hoc Fallacy — Assumption that A caused B can be challenged by showing alternative explanations like {{c1::confounders}} or {{c1::no correlation}}.",Collect data to analyze clearly.,logical-fallacies bonus,Cloze
"Craft a rebuttal to 'You can’t criticize our team because you’ve never played pro sports.'","Fallacy: Ad Hominem / Appeal to Irrelevant Authority. Rebuttal: expertise can arise from analysis and observation; refocus on arguments supported by data.",logical-fallacies bonus,Basic
"Ad Hominem — Expertise isn't limited to {{c1::experience}}; counter by focusing on evidence and logical argumentation.",Address the reasoning instead.,logical-fallacies bonus,Cloze
"Evaluate: 'If we let those people in, next they will take our jobs!' What key sociological evidence would counter this?","Fallacy: Slippery Slope. Counter with studies showing immigration’s neutral or positive impact on labor markets and job growth; evidence from sociological research on community impacts.",logical-fallacies bonus,Basic
"Slippery Slope — Counterclaims should be based in {{c1::evidence}} demonstrating how outcomes do not correlate strictly with policy changes.",Use data from economic research.,logical-fallacies bonus,Cloze
"Explain 'Begging the Question' using a common example and provide a correction.","Begging the Question: circular reasoning that assumes what it aims to prove—e.g., 'The law is just because it’s moral.' Correction: provide independent support for both claims.",logical-fallacies bonus,Basic
"Begging the Question — Corrective approach includes supplying {{c1::rationale}} for both premises independently.",Justify both sides with data.,logical-fallacies bonus,Cloze
"Describe how to counter a Loaded Question: 'Why do you support environmental destruction?'","Counter: reject the presupposition and ask for a neutral question; say, 'What policies do you support for environmental sustainability?' to pivot the discussion.",logical-fallacies bonus,Basic
"Loaded Question — Counter by asking for {{c1::clarity}} or a more neutral rephrasing of the question.",Redirect to specific, clear dialogue.,logical-fallacies bonus,Cloze
"Identify and challenge this belief: 'Personal attacks may seem bad, but they’re just humans being humans.' What is the underlying fallacy?","Fallacy: Normalization of Fallacy / Tu Quoque. Challenge: assert that logical arguments should stand on their own; emotional responses shouldn't be excuses for lack of substance.",logical-fallacies bonus,Basic
"Tu Quoque — Reiterate that valid arguments should rest on {{c1::merit}}, not on personal behavior or emotional reactions.",Focus back on the argument itself.,logical-fallacies bonus,Cloze
"Analyze: 'Most fish are cheap, so all fish must be cheap.' What logical reasoning flaw does this demonstrate?","Fallacy: Hasty Generalization. Flaw: assumes one descriptor (cheap) applies universally without evaluating context, species differences, and market factors.",logical-fallacies bonus,Basic
"Hasty Generalization — Flaw arises from a lack of comprehensive {{c1::data}}; always check broader snapshots before concluding.",Seek diverse data sources.,logical-fallacies bonus,Cloze
"Why might an appeal to fear be misleading, and how can you validate claims instead?","Misleading: invokes emotional responses without rational support. Validate by demanding empirical evidence, data studies, and reasoned analysis of potential outcomes.",logical-fallacies bonus,Basic
"Fear Appeals — Validate by emphasizing the need for {{c1::evidence}} over emotional responses when measuring effectiveness.",Use clear, logical comparisons.,logical-fallacies bonus,Cloze
"Identify the fallacy here: 'Every recent policy has failed; therefore, all policies must fail.' What is a better approach?","Fallacy: Hasty Generalization / Overgeneralization. Better approach: analyze recent policies individually, assess context, specific causal factors, and outcomes to ensure proper evaluation rather than blanket assumptions.",logical-fallacies bonus,Basic
"Hasty Generalization — Avoid sweeping conclusions without assessing {{c1::individual}}
"cases; instead, evaluate outcomes individually based on evidence.",logical-fallacies bonus,Cloze
"What is 'Cherrypicking' and how can it mislead?","Cherrypicking: selectively presenting data that supports an argument while ignoring evidence that contradicts it. Misleading because it creates a biased picture of reality.",logical-fallacies bonus,Basic
"Cherrypicking — Recognize that credible arguments must consider the {{c1::totality}} of evidence, not just isolated data.",Present a balanced view based on all data.,logical-fallacies bonus,Cloze
"Evaluate this reasoning: 'You shouldn’t listen to her argument on climate change; she doesn’t recycle.' What is the fallacy?","Fallacy: Ad Hominem / Tu Quoque. It ignores the actual argument presented—it’s possible to have valid points regardless of personal behavior.",logical-fallacies bonus,Basic
"Ad Hominem — Focus on the validity of the {{c1::argument}} rather than the person's actions; address evidence and logic instead.",Redirect to the main claim.,logical-fallacies bonus,Cloze
"Identify and propose a solution for this argument: 'Any scientist who disagrees with the majority is a heretic.' What fallacy does this reflect?","Fallacy: Appeal to Popularity / Argumentum ad Populum. Solution: emphasize the value of dissenting opinions and the necessity of open debate for scientific progress.",logical-fallacies bonus,Basic
"Appeal to Popularity — Importance lies in testing ideas against {{c1::evidence}} and not settling for {{c1::consensus}} alone; minority views must be examined.",Encourage critical examination.,logical-fallacies bonus,Cloze
"Explain 'False Dilemma' and suggest how to present a situation more accurately.","False Dilemma: presenting only two options when more exist. Present accurately by identifying and discussing alternative choices and possible middle grounds.",logical-fallacies bonus,Basic
"False Dilemma — Assess the full range of {{c1::options}} to provide a more complete picture; avoid forcing choices.",Encourage comprehensive perspectives.,logical-fallacies bonus,Cloze
"Identify the reasoning flaw in this claim: 'If you don't support this bill, you hate education!'. What’s a proper response?","Flaw: False Dichotomy / Straw Man. Proper response: highlight that opposing the bill doesn’t equate to opposing education; present alternative solutions instead while discussing the bill’s pros and cons.",logical-fallacies bonus,Basic
"False Dichotomy — Recognize that opposition can exist to certain measures while still holding {{c1::support}} for the underlying goal.",Explore various solutions and approaches.,logical-fallacies bonus,Cloze

